date,product,ticker,close,strike,level_pct,barrier_px,buf_barrier,ki_px,buf_ki
2026-03-23,B,MU,404.350006,345.09,1.171723,276.072,0.464654,86.2725,3.686893
2026-03-23,B,PLTR,160.839996,177.49,0.906192,141.992,0.13274,44.3725,2.624768
2026-03-24,B,MU,395.529999,345.09,1.146165,276.072,0.432706,86.2725,3.584659
2026-03-24,B,PLTR,154.779999,177.49,0.872049,141.992,0.090061,44.3725,2.488196
2026-03-25,B,MU,382.089996,345.09,1.107218,276.072,0.384023,86.2725,3.428874
2026-03-25,B,PLTR,154.960007,177.49,0.873063,141.992,0.091329,44.3725,2.492253
2026-03-26,B,MU,355.459991,345.09,1.03005,276.072,0.287563,86.2725,3.1202
2026-03-26,B,PLTR,147.559998,177.49,0.831371,141.992,0.039213,44.3725,2.325483
2026-03-27,B,MU,357.220001,345.09,1.03515,276.072,0.293938,86.2725,3.140601
2026-03-27,B,PLTR,143.059998,177.49,0.806017,141.992,0.007522,44.3725,2.224069
2026-03-30,B,MU,321.799988,345.09,0.93251,276.072,0.165638,86.2725,2.730041
2026-03-30,B,PLTR,137.550003,177.49,0.774973,141.992,-0.031283,44.3725,2.099893
2026-03-31,B,MU,337.839996,345.09,0.978991,276.072,0.223739,86.2725,2.915964
2026-03-31,B,PLTR,146.279999,177.49,0.824159,141.992,0.030199,44.3725,2.296636
2026-04-01,B,MU,367.850006,345.09,1.065954,276.072,0.332442,86.2725,3.263815
2026-04-01,B,PLTR,146.490005,177.49,0.825342,141.992,0.031678,44.3725,2.301369
2026-04-02,B,MU,366.23999,345.09,1.061288,276.072,0.32661,86.2725,3.245153
2026-04-02,B,PLTR,148.460007,177.49,0.836442,141.992,0.045552,44.3725,2.345766
2026-04-06,B,MU,377.76001,345.09,1.094671,276.072,0.368339,86.2725,3.378684
2026-04-06,B,PLTR,147.929993,177.49,0.833455,141.992,0.041819,44.3725,2.333821
2026-04-07,B,MU,377.579987,345.09,1.094149,276.072,0.367687,86.2725,3.376597
2026-04-07,B,PLTR,150.070007,177.49,0.845512,141.992,0.056891,44.3725,2.38205
2026-04-08,B,MU,406.730011,345.09,1.17862,276.072,0.473275,86.2725,3.71448
2026-04-08,B,PLTR,140.759995,177.49,0.793059,141.992,-0.008677,44.3725,2.172235
2026-04-09,B,MU,421.51001,345.09,1.22145,276.072,0.526812,86.2725,3.885798
2026-04-09,B,PLTR,130.490005,177.49,0.735196,141.992,-0.081005,44.3725,1.940786
2026-04-10,B,MU,420.589996,345.09,1.218783,276.072,0.523479,86.2725,3.875134
2026-04-10,B,PLTR,128.059998,177.49,0.721505,141.992,-0.098118,44.3725,1.886022
2026-04-13,B,MU,426.559998,345.09,1.236083,276.072,0.545104,86.2725,3.944333
2026-04-13,B,PLTR,132.369995,177.49,0.745788,141.992,-0.067764,44.3725,1.983154
2026-04-14,B,MU,465.660004,345.09,1.349387,276.072,0.686734,86.2725,4.397549
2026-04-14,B,PLTR,135.699997,177.49,0.76455,141.992,-0.044312,44.3725,2.0582
2026-04-15,B,MU,456.230011,345.09,1.322061,276.072,0.652576,86.2725,4.288244
2026-04-15,B,PLTR,142.149994,177.49,0.80089,141.992,0.001113,44.3725,2.203561
2026-04-16,B,MU,457.230011,345.09,1.324959,276.072,0.656198,86.2725,4.299835
2026-04-16,B,PLTR,142.759995,177.49,0.804327,141.992,0.005409,44.3725,2.217308
2026-04-17,B,MU,455.070007,345.09,1.318699,276.072,0.648374,86.2725,4.274798
2026-04-17,B,PLTR,146.389999,177.49,0.824779,141.992,0.030974,44.3725,2.299115
2026-04-20,B,MU,448.420013,345.09,1.299429,276.072,0.624286,86.2725,4.197717
2026-04-20,B,PLTR,145.889999,177.49,0.821962,141.992,0.027452,44.3725,2.287847
2026-04-21,B,MU,449.380005,345.09,1.302211,276.072,0.627764,86.2725,4.208844
2026-04-21,B,PLTR,145.970001,177.49,0.822413,141.992,0.028016,44.3725,2.28965
2026-04-22,B,MU,487.480011,345.09,1.412617,276.072,0.765771,86.2725,4.650468
2026-04-22,B,PLTR,152.619995,177.49,0.859879,141.992,0.074849,44.3725,2.439518
2026-04-23,B,MU,481.720001,345.09,1.395926,276.072,0.744907,86.2725,4.583703
2026-04-23,B,PLTR,141.570007,177.49,0.797622,141.992,-0.002972,44.3725,2.19049
2026-04-24,B,MU,496.720001,345.09,1.439393,276.072,0.799241,86.2725,4.757571
2026-04-24,B,PLTR,143.089996,177.49,0.806186,141.992,0.007733,44.3725,2.224745
2026-04-27,B,MU,524.559998,345.09,1.520067,276.072,0.900084,86.2725,5.080269
2026-04-27,B,PLTR,143.100006,177.49,0.806243,141.992,0.007803,44.3725,2.224971
2026-04-28,B,MU,504.290009,345.09,1.461329,276.072,0.826661,86.2725,4.845316
2026-04-28,B,PLTR,141.179993,177.49,0.795425,141.992,-0.005719,44.3725,2.1817
2026-04-29,B,MU,518.460022,345.09,1.502391,276.072,0.877988,86.2725,5.009563
2026-04-29,B,PLTR,137.970001,177.49,0.77734,141.992,-0.028326,44.3725,2.109358
2026-04-30,B,MU,517.159973,345.09,1.498623,276.072,0.873279,86.2725,4.994494
2026-04-30,B,PLTR,139.110001,177.49,0.783762,141.992,-0.020297,44.3725,2.13505
2026-05-01,B,MU,542.210022,345.09,1.571213,276.072,0.964017,86.2725,5.284853
2026-05-01,B,PLTR,144.070007,177.49,0.811708,141.992,0.014635,44.3725,2.246831
2026-05-04,B,MU,576.450012,345.09,1.670434,276.072,1.088042,86.2725,5.681735
2026-05-04,B,PLTR,146.029999,177.49,0.822751,141.992,0.028438,44.3725,2.291002
2026-05-05,B,MU,640.200012,345.09,1.855168,276.072,1.31896,86.2725,6.420673
2026-05-05,B,PLTR,135.910004,177.49,0.765733,141.992,-0.042833,44.3725,2.062933
2026-05-06,B,MU,666.590027,345.09,1.931641,276.072,1.414551,86.2725,6.726564
2026-05-06,B,PLTR,133.789993,177.49,0.753789,141.992,-0.057764,44.3725,2.015156
2026-05-07,B,MU,646.630005,345.09,1.873801,276.072,1.342251,86.2725,6.495204
2026-05-07,B,PLTR,137.050003,177.49,0.772156,141.992,-0.034805,44.3725,2.088625
2026-05-08,B,MU,746.809998,345.09,2.164102,276.072,1.705128,86.2725,7.656408
2026-05-08,B,PLTR,137.800003,177.49,0.776382,141.992,-0.029523,44.3725,2.105527
2026-05-11,B,MU,795.330017,345.09,2.304703,276.072,1.880879,86.2725,8.218813
2026-05-11,B,PLTR,136.889999,177.49,0.771255,141.992,-0.035932,44.3725,2.085019
2026-05-12,B,MU,766.580017,345.09,2.221392,276.072,1.776739,86.2725,7.885566
2026-05-12,B,PLTR,136.0,177.49,0.76624,141.992,-0.0422,44.3725,2.064961
2026-05-13,B,MU,803.630005,345.09,2.328755,276.072,1.910944,86.2725,8.315019
2026-05-13,B,PLTR,130.050003,177.49,0.732717,141.992,-0.084103,44.3725,1.930869
2026-05-14,B,MU,776.01001,345.09,2.248718,276.072,1.810897,86.2725,7.994871
2026-05-14,B,PLTR,133.729996,177.49,0.753451,141.992,-0.058186,44.3725,2.013803
2026-05-15,B,MU,724.659973,345.09,2.099916,276.072,1.624895,86.2725,7.399664
2026-05-15,B,PLTR,133.990005,177.49,0.754916,141.992,-0.056355,44.3725,2.019663
2026-05-18,B,MU,681.539978,345.09,1.974963,276.072,1.468704,86.2725,6.899852
2026-05-18,B,PLTR,135.139999,177.49,0.761395,141.992,-0.048256,44.3725,2.04558
2026-05-19,B,MU,698.73999,345.09,2.024805,276.072,1.531006,86.2725,7.09922
2026-05-19,B,PLTR,135.259995,177.49,0.762071,141.992,-0.047411,44.3725,2.048284
2026-05-20,B,MU,731.98999,345.09,2.121157,276.072,1.651446,86.2725,7.484627
2026-05-20,B,PLTR,137.149994,177.49,0.77272,141.992,-0.034101,44.3725,2.090878
2026-05-21,B,MU,762.099976,345.09,2.208409,276.072,1.760512,86.2725,7.833637
2026-05-21,B,PLTR,137.414993,177.49,0.774213,141.992,-0.032234,44.3725,2.09685
2026-05-22,B,MU,751.0,345.09,2.176244,276.072,1.720305,86.2725,7.704976
2026-05-22,B,PLTR,136.880005,177.49,0.771198,141.992,-0.036002,44.3725,2.084794
2026-05-26,B,MU,895.880005,345.09,2.596076,276.072,2.245096,86.2725,9.384306
2026-05-26,B,PLTR,136.600006,177.49,0.769621,141.992,-0.037974,44.3725,2.078483
2026-05-27,B,MU,928.409973,345.09,2.690342,276.072,2.362927,86.2725,9.761366
2026-05-27,B,PLTR,132.509995,177.49,0.746577,141.992,-0.066778,44.3725,1.986309
2026-05-28,B,MU,923.52002,345.09,2.676171,276.072,2.345214,86.2725,9.704686
2026-05-28,B,PLTR,143.339996,177.49,0.807595,141.992,0.009493,44.3725,2.230379
2026-05-29,B,MU,971.0,345.09,2.813759,276.072,2.517198,86.2725,10.255035
2026-05-29,B,PLTR,156.539993,177.49,0.881965,141.992,0.102456,44.3725,2.527861
2026-06-01,B,MU,1035.5,345.09,3.000666,276.072,2.750833,86.2725,11.002666
2026-06-01,B,PLTR,160.649994,177.49,0.905121,141.992,0.131402,44.3725,2.620486
2026-06-02,B,MU,1064.099976,345.09,3.083543,276.072,2.854429,86.2725,11.334173
2026-06-02,B,PLTR,152.169998,177.49,0.857344,141.992,0.07168,44.3725,2.429376
2026-06-03,B,MU,1079.569946,345.09,3.128372,276.072,2.910465,86.2725,11.513489
2026-06-03,B,PLTR,142.199997,177.49,0.801172,141.992,0.001465,44.3725,2.204688
2026-06-04,B,MU,996.0,345.09,2.886204,276.072,2.607754,86.2725,10.544814
2026-06-04,B,PLTR,141.699997,177.49,0.798355,141.992,-0.002056,44.3725,2.193419
